timestep,western_temp,eastern_temp,dmi,phase
7512,28.07928,26.107565,1.9717159,Positive
7536,28.119555,26.022274,2.0972805,Positive
7560,28.273193,25.990042,2.2831516,Positive
7584,28.387688,26.032085,2.3556023,Positive
7608,28.405935,26.034664,2.3712711,Positive
7632,28.34127,26.045263,2.2960072,Positive
7656,28.35994,26.05896,2.3009796,Positive
7680,28.433838,26.0449,2.388937,Positive
7704,28.512825,25.963827,2.5489979,Positive
7728,28.700485,25.914587,2.7858982,Positive
7752,28.79573,25.826365,2.969366,Positive
7776,28.706686,25.800884,2.9058018,Positive
7800,28.6576,25.78557,2.8720303,Positive
7824,28.77145,25.75189,3.0195599,Positive
7848,28.827538,25.836521,2.9910164,Positive
7872,28.77605,25.8996,2.8764515,Positive
7896,28.608433,26.055948,2.5524845,Positive
7920,28.451906,26.209866,2.2420406,Positive
7944,28.451797,26.37216,2.0796375,Positive
7968,28.328989,26.473824,1.8551655,Positive
7992,28.280863,26.54975,1.7311134,Positive
8016,28.266804,26.571056,1.6957474,Positive
8040,28.263048,26.435736,1.8273125,Positive
8064,28.264269,26.307716,1.9565525,Positive
8088,28.334105,26.292536,2.0415688,Positive
8112,28.47855,26.330603,2.1479473,Positive
8136,28.60787,26.453,2.154871,Positive
8160,28.703728,26.655106,2.0486221,Positive
8184,28.693802,26.696314,1.997488,Positive
8208,28.729301,26.558226,2.1710758,Positive
8232,28.759298,26.548939,2.2103596,Positive
8256,28.98932,26.504486,2.4848347,Positive
8280,28.908348,26.419245,2.4891033,Positive
8304,28.89357,26.261084,2.6324863,Positive
8328,28.97826,26.218365,2.7598953,Positive
8352,28.649492,26.276886,2.3726063,Positive
8376,28.466433,26.327873,2.1385593,Positive
8400,28.450716,26.337345,2.113371,Positive
8424,28.494389,26.413866,2.0805225,Positive
8448,28.375053,26.501162,1.8738918,Positive
8472,28.245743,26.596363,1.6493797,Positive
8496,28.20871,26.699951,1.5087585,Positive
8520,28.192945,26.634895,1.5580502,Positive
8544,28.140331,26.54584,1.594492,Positive
8568,28.091639,26.457026,1.634613,Positive
8592,28.109457,26.331362,1.7780952,Positive
8616,28.072786,26.282484,1.7903023,Positive
8640,28.036415,26.134947,1.9014683,Positive
8664,28.011198,26.008589,2.0026093,Positive
8688,28.011028,25.98716,2.0238686,Positive
8712,28.002,25.970911,2.0310898,Positive
8736,28.04231,25.907757,2.134554,Positive
8760,27.983387,25.838419,2.144968,Positive
8784,28.002209,25.77947,2.2227383,Positive
8808,28.024624,25.753397,2.271227,Positive
8832,28.04976,25.738352,2.311409,Positive
8856,28.056587,25.73301,2.323578,Positive
8880,28.056604,25.743488,2.313116,Positive
8904,27.995337,25.742819,2.2525177,Positive
8928,27.954685,25.73912,2.2155647,Positive
8952,27.92641,25.717026,2.209385,Positive
8976,27.894035,25.692873,2.2011623,Positive
9000,27.862728,25.748768,2.1139603,Positive
9024,27.86638,25.984549,1.8818321,Positive
9048,27.95238,26.239958,1.7124214,Positive
9072,28.000511,26.466068,1.5344429,Positive
9096,28.032476,26.807802,1.2246742,Positive
9120,28.106253,26.95435,1.1519032,Positive
9144,28.198618,26.934958,1.2636604,Positive
9168,28.279312,26.997505,1.281807,Positive
9192,28.35846,27.242924,1.1155357,Positive
9216,28.307842,27.278177,1.029665,Positive
9240,28.333168,27.099136,1.2340317,Positive
9264,28.416044,26.761734,1.6543102,Positive
9288,28.502363,26.337324,2.165039,Positive
9312,28.411793,26.273197,2.1385956,Positive
9336,28.379162,26.314997,2.064165,Positive
9360,28.357132,26.451746,1.905386,Positive
9384,28.329481,26.680557,1.6489239,Positive
9408,28.238785,26.841879,1.3969059,Positive
9432,28.18369,26.856625,1.3270645,Positive
9456,28.200872,26.69381,1.5070629,Positive
9480,28.307411,26.670206,1.6372051,Positive
9504,28.298496,26.752405,1.5460911,Positive
9528,28.223305,26.828278,1.3950272,Positive
9552,28.22902,26.943542,1.2854767,Positive
9576,28.298784,27.185858,1.1129265,Positive
9600,28.351324,27.415955,0.9353695,Positive
9624,28.327597,27.286177,1.04142,Positive
9648,28.318636,27.035536,1.2831001,Positive
9672,28.465292,26.873188,1.592104,Positive
9696,28.665277,26.949455,1.7158222,Positive
9720,28.798435,27.043417,1.7550182,Positive
9744,28.857925,27.160633,1.6972923,Positive
9768,28.801826,27.282822,1.5190048,Positive
9792,28.845701,27.340431,1.50527,Positive
9816,28.931093,27.377728,1.5533657,Positive
9840,28.884436,27.446512,1.4379234,Positive
9864,28.862186,27.544622,1.317564,Positive
9888,28.888237,27.630257,1.2579803,Positive
9912,28.953959,27.71464,1.2393188,Positive
9936,28.89882,27.785652,1.1131687,Positive
9960,28.857079,28.084248,0.77283096,Positive
9984,28.88174,28.29962,0.5821209,Positive
10008,28.943607,28.15615,0.7874565,Positive
10032,29.015089,27.990559,1.0245304,Positive
10056,29.10895,27.676262,1.4326878,Positive
10080,29.023413,27.359608,1.663805,Positive
10104,28.900782,27.279915,1.6208668,Positive
10128,28.842642,27.332644,1.5099983,Positive
10152,28.847265,27.688938,1.1583271,Positive
10176,28.870785,27.77306,1.0977249,Positive
10200,28.986504,27.761383,1.2251205,Positive
10224,29.075697,27.925379,1.1503181,Positive
10248,29.293064,28.120764,1.1723003,Positive
10272,29.548157,28.239151,1.3090057,Positive
10296,29.698902,28.028067,1.6708355,Positive
10320,29.773735,27.897942,1.8757935,Positive
10344,29.676878,27.721903,1.9549751,Positive
